Unnamed: 0,image_filename,line_text,type
21912,hand_51_line_11.png,መጺአ  እድሉን  እየተጠባበቀ  ነው።,handwritten
20456,hand_54_line_12.png,ሚችል  መግለጽ  እንችል  ይሆናል።,handwritten
10505,hand_67_line_10.png,ይኼ  ለእኔ  ቦነስ ነው።,handwritten
32335,hand_133_line_8.png,ዕዳ ከከፈለ  ፣ ካዳነ  ፣ ከተቤዠ  ፣ ሕይወቱን  ለሰዎች  ሁሉ ከሰጠ  ከዚያም  ሰዎች  ሁሉ መዳን  አለባቸው  በማለት  ያምናሉ።,handwritten
2812,hand_143_line_9.png,አባቶቻችን  ወርዶ  ጽናትን  ፣ ኃይልን  ፣ ብርታትን  ያ ናጸፈበት  ቀን ስለሆነ  ነው።,handwritten
13649,hand_153_line_6.png,በማድረስ ተከፍቷል።,handwritten
12916,hand_201_line_12.png,ኬኒ ዳግሊሽ  በፕሪሚየር  ሊጉ የአሰልጣኞች  ስኬት  ስድስተኛ  ደረጃ  ላይ ተቀምጠዋል።,handwritten
23139,hand_229_line_13.png,ትተውልን  የሄዱትን  ዕቅድ  ፣ ስትራቴጂ  ፣ ፖሊሲ  ፣ .።,handwritten
673,hand_230_line_10.png,ተነሱ።,handwritten
6595,hand_252_line_8.png,አጤ ዮሐንስ  እየተባሉ  ይጠሩ  የነበሩት  ሰማዕት  ከሞቱ  125,handwritten
6596,hand_252_line_9.png,ዓመት  ሆናቸው።,handwritten
24245,hand_263_line_8.png,ርኅራኄ  እንዳልሆነ  ተመልክቷል።  ሆኖም  ስሜቴን  መግለጼ  የድክመት  ምልክት  እንዳልሆነ  ተገነዘብኩ።,handwritten
8995,hand_266_line_9.png,ልታግባባው  ሞከረች  ፤ አልሆን  ሲላትም  ጺሙን  አስነጭታ  ፤ ጥርሱ  እስኪረግፍ  አስደበደበችው።,handwritten
18726,hand_274_line_11.png,በእርሱም  በኩል  ስለነበር  ይህ ራሱ የሰይጣን  የጥላቻ  ዒላማ  እንደሚያደርገው  የታወቀ  ነው።,handwritten
22762,hand_276_line_8.png,ቅሰው  ነበር።,handwritten
14019,hand_287_line_7.png,አሉ።,handwritten
4464,hand_289_line_7.png,ኢትዮጵያዊት  ሴት ለመርዳት  የወሰደው  አርምጃ  ትንሿ  ጅቡቲ  በ ዲፕሎማሲ,handwritten
4465,hand_289_line_8.png,ተልኮዋ  ከምትሰራው  ሥራ  ያነሰ ነው ሲሉ ብዙዎች  ይተቻሉ።,handwritten
18229,hand_356_line_3.png,ጭውውት  እንዲህ  ይዤላችሁ  ቀርቤያለሁ።,handwritten
32391,hand_413_line_10.png,ይላል።,handwritten
28403,hand_440_line_8.png,ብሎአል።,handwritten
9258,hand_453_line_12.png,በመንግሥት  ላይ አመጹ።,handwritten
34805,hand_524_line_11.png,ወጣ  ፤ .።,handwritten
15304,hand_574_line_8.png,ማስተላለፊያ  መስመር  በመገባደጃ  ምእራፍ  ላይ ይገኛል።,handwritten
13435,hand_575_line_11.png,ክርስቲያን  ሴቶች  መካከል  የወንጌላዊው  ፊልጶስ  አራት  ሴቶች  ልጆች  ይገኙበታል።,handwritten
5998,hand_600_line_7.png,ነገር የማይፈጥር  ቢረግጡት  እንቦጭ  ዓይነት  ይሆናል።  እንዲያውም  ልጇን  የምትወድ  እናት  የልጇን  ሥቃይ,handwritten
5999,hand_600_line_8.png,ለማስታገሥ  የምትችለውን  ሁሉ ታደርጋለች።,handwritten
10423,hand_642_line_11.png,እንዳገለግል  ተጋበዝኩ።  ሰሞኑን  በኃይሌ   ገ / ሥላሤ  ላይ - ሲያቀብጠኝ,handwritten
10054,hand_647_line_8.png,በዚሁ  መጽሐፋቸው  ይነግሩናል።,handwritten
11072,hand_653_line_9.png,የሚበሉት  አንድ  እንስሳ  ያለበትን  ቦታና  የሚያደርገውን  እንቅስቃሴ  ለይተው  እንዲያውቁ  ያስችላቸዋል።,handwritten
28384,hand_666_line_10.png,አዲሲቷ  ኢትዮጵያ  ተብሎ  ካልተመፃደቅን  በቀር  ሠፊና  ድንቅ  ሆነ ተወራራሽ  ባህል,handwritten
28385,hand_666_line_11.png,አብረን  የሠራነው  ታሪክ  ያለንአ  ንድ ህዝብ  ነበርን።,handwritten
8640,hand_675_line_7.png,እናቱ  ድንግል  ማርያምን  በመለኮታዊ  ስልጣኑ  ከሙታን  ለይቶ  ማስነሣቱን  ሲያስረዳን  ነው።,handwritten
