,image_filename,line_text,type
92194,typed_3642_line_1.png,ዜናው  እ አ አቆጣጠር  ሰኔ 26 2013 በኢትዮጵያ  ሳተላይት  ቴሌቪዠን  ( እኔ የኢትዮጵያ  ሳተላይት  መገናኛ  ፣ ) ብዬ ብጠራው  ደስ ይለኛል  ),typed
92195,typed_3642_line_2.png,ባስተላለፈው  ዜና ፡ የወያኔው  የደህንነት  አባላት  ለሚፈጽሙት  ማንኛውም  ጥፋት  በወንጀልም  ሆነ በፍታብሄር  አይጠየቁም  የሚል  የህግ  ረቂቅ,typed
92196,typed_3642_line_3.png,ለምክር  ቤት መቅረቡን  አርድቶን  ነበር።  ኢየሱስን  አሁንም  ስለማግኜትዎ  ግን ርግጠኛ  ይሁኑ።  በሐምሌ  2005 የዒድ  አልፊጥር  ባዕልን  ለማክበር,typed
92197,typed_3642_line_4.png,በአዲስ  አበባ  ስቴዲዮም  በመገኘት  የ 1 ኛ ተከሳሽን  የኢ .። በካፌዎች  ፣ በህዝብ  መናፈሻና  ትራንስፖርት  ፤ በሆቴሎች  ፣ በስፖርት  ማዘውተሪያ  ፣,typed
92198,typed_3642_line_5.png,ሆስፒታሎችና  ትምህርት  ቤቶች  ሲጋራ  እንዳይ  ጬስ  በማድረግ  ቅድሚያ  በመውሰድ  ተግባራዊ  እያደረገ  ያለው  በአገሪቱ  ሰሜናዊ  ክፍል  የሚገኘው,typed
92199,typed_3642_line_7.png,የሚደፋፈራቸው  የደህንነት  አማካሪው  አለቃ  ጸጋይ  ከፓርቲው  መነሳቱን  ተከትሎ  በደብረጺሆን  ተዘዋዋሪ  ቁጥጥር  ስር መሆኑን  ከጠ / ሚ ቢሮ,typed
92200,typed_3642_line_8.png,የተገኙ  መረጃዎች  ሲጠቁሙ  እንደት  ከስልጣን  እንደሚባረር  ታቅዶለታል።,typed
92201,typed_283_line_1.png,በአንድ  የማስታወቂያ  ሰልፍ  ላይ ሃይማኖት  ወጥመድና  ማጭበርበሪያ  ነው የሚል  መልእክት  የተጻፈበት  ሰሌዳ  ይዤ በሰልፉ  መጨረሻ  ላይ እጓዝ,typed
92202,typed_283_line_4.png,ላይ እያተኮረ  ዋንኛ  ተቀናቃኜ  አልፎም  ጠላቴ  የሚለውን  እንዲረሳና  ከተነሳበት  ዓላማውም  እንዲዘናጋ  ማድረጉን  ነው።  + 13 ችግረኛው,typed
92203,typed_283_line_6.png,ከዋለው  የጰንጠቆስጤ  ዕለት  ጀምሮ  በአብ  ፣ በወልድና  በመንፈስ  ቅዱስ  ስም እንዲያጠምቁ  የተሰጣቸውን  ተልእኮ  መፈጸም  ጀመሩ።  1 ) ፊሊፕ,typed
